course name,course code
Bachelor of Agriculture (Degree with Honours),BH-AGR
Bachelor of Agriculture,B-AGR
Bachelor of Arts (Extended),B-ARTSEXT
Bachelor of Arts,B-ARTS
Bachelor of Biomedicine (Degree with Honours),BH-BMED
Bachelor of Biomedicine,B-BMED
Bachelor of Commerce (Degree with Honours),BH-COM
Bachelor of Commerce,B-COM
Bachelor of Design (Degree with Honours),BH-DES
Bachelor of Design,B-DES
Bachelor of Environments (Degree with Honours),BH-ENVS
Bachelor of Environments,B-ENVS
Bachelor of Fine Arts (Acting),B-FAACTING
Bachelor of Fine Arts (Animation),B-FAANIM
Bachelor of Fine Arts (Dance),B-FADANCE
Bachelor of Fine Arts (Degree with Honours),BH-FA
Bachelor of Fine Arts (Film and Television),B-FAFILMTV
Bachelor of Fine Arts (Music Theatre),B-FAMUSTH
Bachelor of Fine Arts (Production),B-FAPRO
Bachelor of Fine Arts (Screenwriting),B-FASCWRI
Bachelor of Fine Arts (Theatre),B-FATH
Bachelor of Fine Arts (Visual Art),B-FAVISART
Bachelor of Music (Degree with Honours),BH-MUS
Bachelor of Music,B-MUS
Bachelor of Oral Health,841AC
Bachelor of Science (Degree with Honours),BH-SCI
Bachelor of Science (Extended),B-SCIEXT
Bachelor of Science Advanced (Honours),BH-SCIADV
Bachelor of Science,B-SCI
Diploma in Computing,D-COMP
Diploma in General Studies (Extended),D-GENSTEXT
Diploma in General Studies,D-GENST
Diploma in Mathematical Sciences,D-MATHSC
Diploma in Music,D-MUSIC
Doctor of Agricultural Science,DH-AGRSC
Doctor of Clinical Dentistry,661AA
Doctor of Dental Science,DH-DSC
Doctor of Education,300BB
Doctor of Laws,DH-LLD
Doctor of Medical Science,J15AA
Doctor of Medicine,MC-DMED
Doctor of Music,DH-MUS
Doctor of Optometry,MC-DOPTOM
Doctor of Philosophy - Agricultural Sciences,DR-PHILAGR
"Doctor of Philosophy - Architecture, Building and Planning",DR-PHILABP
Doctor of Philosophy - Arts,DR-PHILART
Doctor of Philosophy - Business and Economics,DR-PHILBE
Doctor of Philosophy - Education,DR-PHILEDU
Doctor of Philosophy - Engineering and IT,DR-PHILEIT
Doctor of Philosophy - Engineering,DR-PHILENG
Doctor of Philosophy - Fine Arts and Music,DR-PHILFAM
Doctor of Philosophy - Indigenous Knowledge,DR-PHILIK
Doctor of Philosophy - Law,DR-PHILLAW
"Doctor of Philosophy - Medicine, Dentistry and Health Sciences",DR-PHILMDH
Doctor of Philosophy - Music,DR-PHILMUS
Doctor of Philosophy - Science,DR-PHILSCI
Doctor of Philosophy - Veterinary Science,DR-PHILVET
Doctor of Philosophy - Victorian College of the Arts,DR-PHILVCA
Doctor of Physiotherapy,MC-DPHYSIO
Doctor of Science,DH-SC
Doctor of Veterinary Medicine,MC-DVETMED
Doctor of Veterinary Science,DH-VSC
Executive Master of Arts,MC-EMA
Graduate Certificate in Aboriginal Health in Rural Communities,GC-AHRC
