Subject Title,Subject Code
Understanding the Built Environment,ABPL10005
Environmental Technologies,ABPL10007
Architectural Technology,ABPL20033
Cities: From Local to Global,ABPL20035
Environmental Building Systems,ABPL20036
Construction of Residential Buildings,ABPL20042
Construction of Concrete Buildings,ABPL20053
Global Foundations of Design,ABPL20055
Construction Contract Administration,ABPL30039
Architectural Tectonics,ABPL30041
Landscape Studio: Urban Open Space,ABPL30042
Steel and Concrete Structural Systems,ABPL30046
Construction Management,ABPL30055
Property Case Studies,ABPL30059
AA Visiting School Undergraduate,ABPL30063
Humanitarian Design Internship,ABPL30064
Foregrounding: Design Studio & History,ABPL30065
Design Internship,ABPL30068
Installations and Happenings,ABPL30069
Venice Studio,ABPL30070
Research Methods in Design,ABPL40053
Bachelor of Design Honours Thesis-I,ABPL40054
Bachelor of Design Honours Thesis -II,ABPL40055
Advanced Property Analysis,ABPL90011
Urban Design Theory,ABPL90017
Measured Drawings & Digital Heritage,ABPL90020
Healthy Communities,ABPL90022
Property Development,ABPL90026
Life Cycle Analysis and Sustainability,ABPL90027
Project Management,ABPL90028
Construction Studies,ABPL90029
Project Evaluation,ABPL90030
Corporate Real Estate Management,ABPL90031
Building Services and Operations,ABPL90032
Property Securitisation,ABPL90034
Risk in Construction,ABPL90035
Property Investment and Finance,ABPL90036
International Property Development B,ABPL90040
Property Law (PG),ABPL90041
Statutory Valuation (PG),ABPL90045
Landscape Practice,ABPL90048
Urban Design Studio A,ABPL90061
Urban Sustainability and Climate Change,ABPL90064
Managing Global City Regions,ABPL90065
MSD Research Project Short (12.5 Points),ABPL90066
MSD Thesis -Semester Long (25 Points),ABPL90067
Landscape Studio 5:Sustainable Urbanism,ABPL90072
Landscape Detail Design,ABPL90074
Urban and Landscape Heritage,ABPL90075
Introduction to Transport and Land Use,ABPL90077
Contemporary Landscape Theory,ABPL90078
Environmental Systems,ABPL90086
Australian Architecture,ABPL90089
Public Transport Network Planning,ABPL90090
Landscape Studio 1: Design Techniques,ABPL90107
Twenty-first Century Architecture,ABPL90117
Applied Architectural Technology,ABPL90118
Advanced Cost Management,ABPL90129
Planning Law & Statutory Planning,ABPL90130
Strategic Plan Making,ABPL90131
Urban Coding and Design,ABPL90132
Planning Theory and History,ABPL90134
Architectural Practice,ABPL90140
Architectural Conservation in Asia,ABPL90146
Design Futures,ABPL90147
Bower Studio - Community Development,ABPL90152
Complex Building Energy Modelling,ABPL90153
Design Communications Workshop (P/G),ABPL90167
Design Thesis,ABPL90169
Landscape Studio 4 Strategies,ABPL90170
Landscape Studio 3 Speculations,ABPL90172
Advanced Planting Design,ABPL90173
Landscape Studio 2: Site and Design,ABPL90176
Construction Measurement and Estimating,ABPL90208
F_Lab: Bespoke Furnitures,ABPL90222
The Economies of Cities and Regions,ABPL90246
Constructed Ecologies,ABPL90263
History of Landscape Architecture,ABPL90265
Inclusive Cities,ABPL90266
Façade Design and Construction,ABPL90268
Shaping the Landscape,ABPL90271
Urban Design Studio B,ABPL90273
Property Markets and Valuations,ABPL90274
Property Resources and Management,ABPL90275
Principles of Heritage and Conservation,ABPL90282
Ecology for Design,ABPL90283
Master of Architecture Studio A,ABPL90284
Master of Architecture Studio B,ABPL90285
Construction Methods,ABPL90286
Design and Construction,ABPL90287
Architectural Cultures 1: Modernism,ABPL90288
Architectural Cultures 2:After Modernism,ABPL90289
Fundamentals of Built Environment Law,ABPL90290
Construction of Buildings,ABPL90292
Steel and Composite Construction Systems,ABPL90293
Construction Regulations and Control,ABPL90295
Flexible Urban Modelling,ABPL90304
MUP Independent Study,ABPL90306
MSD Vocational Placement,ABPL90307
Management of Construction,ABPL90313
Participatory Planning,ABPL90315
The Shaping of Urban Design,ABPL90316
"GIS In Planning, Design & Development",ABPL90319
Building Resilient Settlements,ABPL90320
Materials and Structures,ABPL90324
Prefabrication in Building,ABPL90325
Procurement Methods,ABPL90327
ICT in Building,ABPL90331
Means and Methods in Construction,ABPL90334
Contract Management,ABPL90335
Managing Urban Landscapes,ABPL90337
International Real Estate Economics,ABPL90339
Urban Environmental Policy and Planning,ABPL90341
Issues and Techniques in Global Heritage,ABPL90355
Research in Construction,ABPL90358
Research Practicum in Construction,ABPL90359
Ex_Lab: Experimental Furniture Futures,ABPL90361
Research Thesis - Property,ABPL90362
Property Research and Analysis,ABPL90363
Industry Based Research - Property,ABPL90364
Critical&Curatorial Practices in Design,ABPL90367
Architecture as Spectacle,ABPL90369
Design Management,ABPL90370
Design Activism,ABPL90371
GeoDesign Models & Applications,ABPL90374
Landscape Architecture Design Thesis,ABPL90375
Urban Design Thesis,ABPL90376
DF_Lab: Designing Making,ABPL90378
Designing for Heat in the Public Domain,ABPL90380
Urban and Cultural Heritage Minor Thesis,ABPL90382
Applied Heritage Conservation Techniques,ABPL90385
AA Visiting School Graduate,ABPL90386
Urban Design Studio C,ABPL90389
Architectural Engineering Thesis,ABPL90390
ZEMCH Sustainable Design Workshop,ABPL90394
MSD Minor Thesis Part 1,ABPL90396
MSD Minor Thesis Part 2,ABPL90397
Visions and Agendas in Architecture,ABPL90403
Place Making for The Built Environment,ABPL90404
Energy & Carbon in the Built Environment,ABPL90405
Representing Spatial Information,ABPL90407
Spatial Analytics,ABPL90408
Realising The Knowledge Economy,ABPL90409
R_Lab: Made by Robots,ABPL90412
Construction Cost Planning,ABPL90413
Lean Construction,ABPL90414
Advanced Asset Strategy Applications,ABPL90415
Land and Property Economics,ABPL90416
Environment Behavior Methods for Design,ABPL90417
Design - Philosophy - Architecture,ABPL90421
SI_Lab: Spatial Information,ABPL90422
Introduction to High-Performance Design,ABPL90424
Informal Settlement,ABPL90425
Applied Design Thinking,ABPL90426
UX Design for Health and Wellbeing,ABPL90427
Designing WELL,ABPL90428
Venice Studio,ABPL90429
Design with Country: Resilience Studio,ABPL90430
Making the Invisible Visible,ABPL90431
Building Information Modelling,ABPL90432
Building Information Management,ABPL90433
Construction Management Internship,ABPL90434
Concrete Construction Systems,ABPL90435
Design Studio C,ABPL90437
Design Studio D,ABPL90438
Design Studio E,ABPL90439
International Development Infrastructure,ABPL90442
Travelling Studio Japan-Architecture,ABPL90444
Travelling Studio Japan-Landscape,ABPL90445
Edible Urban Futures,ABPL90446
Tonga Traveling Studio,ABPL90447
Accounting Reports and Analysis,ACCT10001
Introductory Financial Accounting,ACCT10002
Introduction to Accounting,ACCT10004
Cost Management,ACCT20001
Intermediate Financial Accounting,ACCT20002
Business Forensics and Fraud,ACCT20006
Analysis of Firms & Financial Statements,ACCT30001
Enterprise Performance Management,ACCT30002
Auditing and Assurance Services,ACCT30004
Reporting for Sustainability,ACCT30012
Research in Financial Accounting,ACCT40001
Research in Management Accounting,ACCT40002
Honours Research Methods,ACCT40004
Honours Research Essay Accounting,ACCT40006
Behavioural Accounting Research,ACCT40007
Honours Research Essay Part 1,ACCT40008
Honours Research Essay Part 2,ACCT40009
Special Topics in Accounting Research,ACCT40010
Financial Statement Analysis,ACCT90002
Accounting Research Report 1,ACCT90003
Accounting for Decision Making,ACCT90004
Special Topics in Accounting,ACCT90011
Corporate Reporting,ACCT90012
Financial Accounting Theory & Practice,ACCT90013
Auditing and Assurance Services,ACCT90014
Legal Issues for Business,ACCT90015
Taxation for Business Decision Making,ACCT90016
Financial Accounting Research,ACCT90019
Management Accounting Research,ACCT90020
